Company,Exchange,Symbol,Industry,Date Added,Twitter ID
3M,NYSE,MMM,Conglomerate,8/9/1976,3M
American Express,NYSE,AXP,Financial services,8/30/1982,AmericanExpress
Apple Inc.,NASDAQ,AAPL,Information technology,3/19/2015,Apple
Boeing,NYSE,BA,Aerospace manufacturer and Arms industry,3/12/1987,Boeing
Caterpillar Inc.,NYSE,CAT,Construction and Mining,5/6/1991,CaterpillarInc
Chevron Corporation,NYSE,CVX,Petroleum industry,2/19/2008,Chevron
Cisco Systems,NASDAQ,CSCO,Information technology,6/8/2009,Cisco
The Coca-Cola Company,NYSE,KO,Food industry,3/12/1987,CocaCola
Dow Inc.,NYSE,DOW,Chemical industry,4/2/2019,
ExxonMobil,NYSE,XOM,Petroleum industry,10/1/1928,Exxonmobil
Goldman Sachs,NYSE,GS,Financial services,9/20/2013,Goldmansachs
The Home Depot,NYSE,HD,Retailing,11/1/1999,homedepot
IBM,NYSE,IBM,Information technology,6/29/1979,ibm
Intel,NASDAQ,INTC,Information technology,11/1/1999,intel
Johnson & Johnson,NYSE,JNJ,Pharmaceutical industry,3/17/1997,johnsonsbaby
JPMorgan Chase,NYSE,JPM,Financial services,5/6/1991,jpmorgan
McDonald's,NYSE,MCD,Food industry,10/30/1985,mcdonalds
Merck & Co.,NYSE,MRK,Pharmaceutical industry,6/29/1979,merck
Microsoft,NASDAQ,MSFT,Information technology,11/1/1999,microsoft
Nike,NYSE,NKE,Apparel,9/20/2013,nike
Pfizer,NYSE,PFE,Pharmaceutical industry,4/8/2004,pfizer
Procter & Gamble,NYSE,PG,Fast moving consumer goods,5/26/1932,proctergamble
The Travelers Companies,NYSE,TRV,Financial services,6/8/2009,travelers
UnitedHealth Group,NYSE,UNH,Managed health care,9/24/2012,uhc
United Technologies,NYSE,UTX,Conglomerate,3/14/1939,utc
Verizon,NYSE,VZ,Telecommunication,4/8/2004,verizon
Visa Inc.,NYSE,V,Financial services,9/20/2013,visa
Walmart,NYSE,WMT,Retailing,3/17/1997,walmart
Walgreens Boots Alliance,NASDAQ,WBA,Retailing,6/26/2018,walgreens
The Walt Disney Company,NYSE,DIS,Broadcasting and entertainment,5/6/1991,disney
