NEWID;AGE_REF;AGE2;BATHRMQ;BEDROOMQ;BLS_URBN;FAM_SIZE;INC_RANK;RENTEQVX;VEHQ
3639434;36;36;3;5;1;4;0.0963827;2770;2
3639444;57;57;1;3;1;3;0.3434733;500;2
3639454;57;;1;1;1;1;0.153224;;0
3639504;22;27;2;3;1;3;0.4964219;1200;3
3639544;71;;1;3;1;1;0.2817358;300;1
3639564;67;68;1;3;1;2;0.7539039;3500;3
3639594;55;52;1;2;1;3;0.4719707;1600;1
3639614;72;;2;3;1;1;0.4626213;2100;1
3639624;65;;1;3;1;1;0.3500767;900;1
3639634;65;63;1;3;1;2;0.4990777;1200;3
3639734;53;54;2;3;1;2;0.8244401;1700;2
3639754;31;;2;3;1;1;0.557984;850;1
3639774;88;68;1;1;1;2;0.0810483;;2
3639794;52;46;4;4;1;2;0.9742603;3000;3
3639814;30;29;2;5;1;4;0.5337917;1500;2
3639854;25;;1;1;1;1;0.243864;;0
3639874;60;;4;4;1;2;0.8955458;2800;2
3639914;47;50;1;3;1;4;0.8235215;1000;2
3639944;50;63;1;2;1;2;0.6405148;1000;3
3639974;71;;1;3;1;1;0.7547138;600;5
3640004;88;;1;1;1;1;0.2104743;;0
3640044;74;;2;3;1;1;0.1187073;1306;2
3640054;33;33;4;5;1;5;0.9537541;2400;2
3640064;51;;1;2;1;1;0.1539972;;2
3640104;70;;2;3;1;2;0.2641641;1200;2
3640114;45;;1;3;1;1;0.5357565;1300;2
3640134;58;50;3;5;1;2;0.7174873;2000;2
3640174;46;40;3;4;1;5;0.9731625;3000;3
3640184;59;58;1;3;2;3;0.4739582;550;5
3640214;62;65;1;3;1;3;0.9152084;1200;3
3640264;88;;2;3;1;1;0.3544055;2200;2
3640284;52;;1;1;1;1;0.1966659;;1
3640304;55;54;3;4;1;5;0.7677791;2500;3
3640344;49;18;2;2;1;2;0.6365199;;1
3640364;56;;2;5;2;2;0.0544748;2717;3
3640374;39;;2;3;1;1;0.7507156;1200;1
3640394;42;;1;5;1;5;0.1612322;;0
3640414;34;30;1;2;1;3;0.716052;;1
3640424;60;;1;1;1;1;0.0640027;;0
3640434;60;;1;2;1;2;0.5000028;600;1
3640454;53;43;2;3;1;4;0.8316135;;3
3640484;19;20;1;3;2;2;0.6550046;;4
3640494;80;79;2;2;1;2;0.6715073;1200;2
3640504;26;;1;2;1;1;0.6206936;;0
3640514;39;;1;2;1;2;0.6557094;;1
3640524;22;;1;2;2;2;0.7374129;;2
3640534;75;65;2;3;1;2;0.4139645;2000;1
3640574;46;;1;1;2;1;0.2182376;;1
3640614;38;34;2;3;1;3;0.5618042;;2
3640634;57;57;2;3;1;2;0.7929528;1400;2
3640664;60;63;2;3;1;4;0.3079041;;7
3640684;69;;1;1;1;1;0.0635793;;1
3640704;66;;1;3;1;1;0.4694514;1200;1
3640744;44;;4;3;2;4;0.9641683;1500;14
3640764;76;;1;2;1;1;0.0403595;500;1
3640774;72;;2;3;1;1;0.3823169;1000;1
3640784;40;43;2;3;1;4;0.7261589;1200;3
3640804;29;;1;3;1;3;0.7664437;800;2
3640814;61;;1;3;1;2;0.6355792;1000;4
3640834;56;57;3;3;1;3;0.9576817;2400;3
3640844;46;43;3;4;1;3;0.8112278;2000;2
3640854;57;;2;3;1;2;0.8817097;2000;3
3640874;70;69;2;3;1;2;0.8045477;2400;4
3640904;46;;1;3;1;2;0.8176948;3000;1
3640994;41;37;1;3;1;4;0.0896641;1500;2
3641034;75;72;2;2;1;2;0.406199;2057;1
3641044;73;74;3;4;1;2;0.5287605;1000;5
3641064;35;35;1;3;1;4;0.7229472;1200;4
3641084;43;43;2;4;1;4;0.6296481;1500;2
3641104;37;;1;3;1;1;0.0164455;650;0
